venue_name, capacity, venue_type
50 Kent,7000,Outdoor Venues
92nd Street Y,905,Club
Ace Of Clubs,175,Club
Acoustic Cafe,100,Club
Adler Hall At The New York Society for Ethical Culture,815,Auditorium / Theatre
Algonquin Arts Theatre,540,Auditorium / Theatre
Alice Tully Hall,1085,Auditorium / Theatre
Alumni Hall,2000,"Untyped Venue, Untyped Venue"
American Beauty NYC,300,Club
Amityville Music Hall,250,Club
Angels & Kings,74,Club
Apollo Theater,1526,Auditorium / Theatre
The Appel Room,467,Auditorium / Theatre
Arch Street,500,Club
Arlene's Grocery,100,Club
Asbury Bandshell,600,Amphitheatre
Asbury Lanes,738,Club
At The Tabernacle,389,Auditorium / Theatre
Barclays Center,19000,Arena
The Barking Spider Tavern,850,Untyped Venue
Bayou Restaurant,130,Club
Beacon Theatre,2829,Auditorium / Theatre
The Bell House,500,Club
Bergen Performing Arts Ctr.,1371,Auditorium / Theatre
Billboard Lounge Amplified By Lightpath,300,Club
Birch Hill Nite Club,1500,Club
Birdland,200,Club
The Bitter End,231,Club
Blue Note New York,200,Club
The Bowery Ballroom,575,Club
The Bowery Electric,200,Club
Brighton Bar,280,Club
Briody's,225,Club
Bristol Riverside Theatre,306,Auditorium / Theatre
The Brokerage Comedy Club,175,Club
The Brooklyn Bazaar,500,Club
Brooklyn Bowl,600,Club
The Brooklyn Mirage At Avant Gardner,5000,Club
Brooklyn Steel,1800,Club
Café Carlyle,90,Club
Cafe Wha?,220,Club
Canal Room,450,Club
The Capitol Theatre,2040,Auditorium / Theatre
Caramoor Center for Music & the Arts,2000,"Outdoor Venues, Complex"
Carolines On Broadway,280,Club
Carringtons,1500,Untyped Venue
Carteret Performing Arts Center,1605,Auditorium / Theatre
Catch A Rising Star,250,Club
Catch A Rising Star,123,Club
CB's 313 Gallery,200,"Untyped Venue, Untyped Venue"
Central Park,0,"Untyped Venue, Untyped Venue"
Chappaqua Performing Arts Center,425,Auditorium / Theatre
The Chase Room,250,Auditorium / Theatre
China Club,1200,Club
Citi Field,42500,Stadium
City Vineyard NYC,200,Club
City Winery NYC,320,Club
Coda,300,Club
Colden Auditorium,2085,Auditorium / Theatre
Comedy Cellar,0,Club
Confetti,745,Club
Continental,200,Club
Convention Hall,3600,Convention Center
The Cooler,400,Club
Coral Room,400,Club
The Crazy Donkey,900,Club
Cricket Club,1650,"Untyped Venue, Club"
CURE Insurance Arena,9000,Arena
The Cutting Room,450,Club
Da Funky Phish,268,Club
Danbury Arena,2300,Arena
David Geffen Hall,2732,Auditorium / Theatre
Debonair Music Hall,290,Club
Dinosaur Bar-B-Que,150,Club
Dominion NY,120,Auditorium / Theatre
Downstairs at the Metropolis,165,"Untyped Venue, Untyped Venue"
Drom,200,Club
Edward Nash Theatre,984,Auditorium / Theatre
Eisenhower Hall Theatre,4324,Auditorium / Theatre
Eisner & Lubin Auditorium,700,Auditorium / Theatre
Elbow Room,385,Club
Elsewhere,725,Club
Emelin Theatre,275,Club
Fairfield Theatre StageOne,215,Club
FM Station,1188,Untyped Venue
Ford Amphitheater At Coney Island Boardwalk,5400,Amphitheatre
Forest Hills Stadium,13500,Stadium
Foxwoods Theatre,1930,Auditorium / Theatre
Garcia's At The Capitol Theatre,250,Club
Governor's Comedy Club,270,Club
The Gramercy Theatre,650,Auditorium / Theatre
Grand Ballroom,1200,Auditorium / Theatre
The Grand Prospect Hall,7000,Auditorium / Theatre
The Great Auditorium,5000,Auditorium / Theatre
Greenwich Academy,390,Auditorium / Theatre
The Hall At MP,600,Club
Hammerstein Ballroom,3500,Auditorium / Theatre
Hard Rock Cafe,700,Club
Hartford Healthcare Amphitheater,5700,Amphitheatre
Heirloom Arts Theatre,300,Club
Helen Hayes Theatre Company,592,Auditorium / Theatre
HighLine Ballroom,700,Club
Hopewell Theater,257,Auditorium / Theatre
House Of Independents,540,Club
Hudson RiverStage,5250,Amphitheatre
Hulu Theater At Madison Square Garden,5600,Auditorium / Theatre
iHeartRadio Theater,220,Club
The Iridium,170,Club
Irving Plaza,1150,Club
Irvington Town Hall Theater,432,Auditorium / Theatre
Ives Concert Park,5000,Amphitheatre
Jazz Standard,130,Club
Jeanne Rimsky Theater At Landmark On Main Street,425,Auditorium / Theatre
Joe's Pub,169,Club
John C. Adams Playhouse,1134,"Untyped Venue, Untyped Venue"
The Junkyard,400,"Untyped Venue, Untyped Venue"
The Kaye Playhouse,624,Auditorium / Theatre
The Kings Hall At Avant Gardner,800,Club
Kings Theatre,3055,Auditorium / Theatre
The Klein,1400,Club
Knockdown Center,3100,Auditorium / Theatre
Krome,1500,Club
Langosta Lounge,250,Club
Le Bar Bat,900,Club
LeFrak Concert Hall,489,Auditorium / Theatre
Lehman Center For The Perf. Arts,2276,Auditorium / Theatre
Life The Place To Be,1200,Club
The Living Room,250,Club
The Loft @ City Winery NYC,220,Club
Longacre Theatre,1091,Auditorium / Theatre
The Lounge At Westbury,125,Club
Lucille Lortel Theatre,299,Auditorium / Theatre
Mack Sports & Exhibition Complex,5000,Arena
